"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of previous fixes","Number of committers","Number of developer commits","Number of bugs"
"L4314","PluginMethod.java","community/server/src/main/java/org/neo4j/server/plugins/PluginMethod.java","L4298","9","0","69","22","0","9","2472","0"
"L4315","PluginPointFactoryImpl.java","community/server/src/main/java/org/neo4j/server/plugins/PluginPointFactoryImpl.java","L4298","29","0","207","17","0","7","1636","0"
"L4316","RelationshipTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/RelationshipTypeCaster.java","L4298","1","0","16","12","0","6","5350","0"
"L4317","RelationshipTypeTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/RelationshipTypeTypeCaster.java","L4298","4","0","27","12","0","6","5350","0"
"L4318","ResultConverter.java","community/server/src/main/java/org/neo4j/server/plugins/ResultConverter.java","L4298","27","0","221","7","0","4","2319","0"
"L4319","ShortTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/ShortTypeCaster.java","L4298","2","0","28","12","0","6","5350","0"
"L4320","SourceExtractor.java","community/server/src/main/java/org/neo4j/server/plugins/SourceExtractor.java","L4298","1","0","13","10","0","5","5350","0"
"L4321","SPIPluginLifecycle.java","community/server/src/main/java/org/neo4j/server/plugins/SPIPluginLifecycle.java","L4298","1","0","8","9","0","6","2319","0"
"L4322","StringTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/StringTypeCaster.java","L4298","1","0","16","12","0","6","5350","0"
"L4323","TypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/TypeCaster.java","L4298","1","0","14","12","0","6","5350","0"
"L4324","UriTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/UriTypeCaster.java","L4298","1","0","16","12","0","6","5350","0"
"L4325","URLTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/URLTypeCaster.java","L4298","4","0","40","15","0","6","5350","0"
"L19770","ConfigurationBuilder.java","community/server/src/main/java/org/neo4j/server/configuration/ConfigurationBuilder.java","L19769","4","0","86","10","1","7","665","0"
"L19771","Configurator.java","community/server/src/main/java/org/neo4j/server/configuration/Configurator.java","L19769","5","0","140","124","0","22","2319","0"
"L19772","ConfigWrappingConfiguration.java","community/server/src/main/java/org/neo4j/server/configuration/ConfigWrappingConfiguration.java","L19769","6","0","81","4","0","4","1296","0"
"L19773","PropertyFileConfigurator.java","community/server/src/main/java/org/neo4j/server/configuration/PropertyFileConfigurator.java","L19769","13","0","129","75","0","18","665","0"
"L19774","ServerConfigurator.java","community/server/src/main/java/org/neo4j/server/configuration/ServerConfigurator.java","L19769","1","0","35","46","0","15","2319","0"
"L19775","ServerSettings.java","community/server/src/main/java/org/neo4j/server/configuration/ServerSettings.java","L19769","4","0","114","16","0","10","9","0"
"L19776","ThirdPartyJaxRsPackage.java","community/server/src/main/java/org/neo4j/server/configuration/ThirdPartyJaxRsPackage.java","L19769","1","0","19","6","0","4","2319","0"
"L20238","CypherExecutor.java","community/server/src/main/java/org/neo4j/server/database/CypherExecutor.java","L20237","1","0","28","14","0","8","2472","0"
"L20239","CypherExecutorProvider.java","community/server/src/main/java/org/neo4j/server/database/CypherExecutorProvider.java","L20237","1","0","18","1","0","1","268","0"
"L20240","Database.java","community/server/src/main/java/org/neo4j/server/database/Database.java","L20237","1","0","17","103","0","16","665","0"
"L20241","DatabaseProvider.java","community/server/src/main/java/org/neo4j/server/database/DatabaseProvider.java","L20237","1","0","18","9","0","5","268","0"
"L20242","ExecutionEngineProvider.java","community/server/src/main/java/org/neo4j/server/database/ExecutionEngineProvider.java","L20237","1","0","19","5","0","3","2472","0"
"L20243","GraphDatabaseFactory.java","community/server/src/main/java/org/neo4j/server/database/GraphDatabaseFactory.java","L20237","1","0","7","12","0","7","5350","0"
"L20244","GraphDatabaseServiceProvider.java","community/server/src/main/java/org/neo4j/server/database/GraphDatabaseServiceProvider.java","L20237","1","0","19","11","0","7","268","0"
"L20245","InjectableProvider.java","community/server/src/main/java/org/neo4j/server/database/InjectableProvider.java","L20237","2","0","41","2","0","2","2319","0"
"L20246","LifecycleManagingDatabase.java","community/server/src/main/java/org/neo4j/server/database/LifecycleManagingDatabase.java","L20237","4","0","112","17","0","8","665","0"
"L20247","NoSuchDatabaseProviderException.java","community/server/src/main/java/org/neo4j/server/database/NoSuchDatabaseProviderException.java","L20237","1","0","13","2","0","2","5350","0"
"L20248","RrdDbWrapper.java","community/server/src/main/java/org/neo4j/server/database/RrdDbWrapper.java","L20237","1","0","26","8","0","5","2319","0"
"L20249","WrappedDatabase.java","community/server/src/main/java/org/neo4j/server/database/WrappedDatabase.java","L20237","2","0","55","26","0","10","665","0"
"L20459","GuardingRequestFilter.java","community/server/src/main/java/org/neo4j/server/guard/GuardingRequestFilter.java","L20458","9","0","71","23","0","12","2319","0"
"L20579","JettyLoggerAdapter.java","community/server/src/main/java/org/neo4j/server/logging/JettyLoggerAdapter.java","L20578","9","0","161","21","0","9","412","0"
"L20580","NeoLogFilter.java","community/server/src/main/java/org/neo4j/server/logging/NeoLogFilter.java","L20578","2","0","13","13","0","8","412","0"
"L20581","SimpleConsoleFormatter.java","community/server/src/main/java/org/neo4j/server/logging/SimpleConsoleFormatter.java","L20578","1","0","35","13","0","7","412","0"
"L20708","AuthorizationModule.java","community/server/src/main/java/org/neo4j/server/modules/AuthorizationModule.java","L20707","2","0","34","5","0","2","412","0"
"L20709","DBMSModule.java","community/server/src/main/java/org/neo4j/server/modules/DBMSModule.java","L20707","1","0","31","4","0","3","412","0"
"L20710","ExtensionInitializer.java","community/server/src/main/java/org/neo4j/server/modules/ExtensionInitializer.java","L20707","7","0","62","4","0","4","2319","0"
"L20711","ManagementApiModule.java","community/server/src/main/java/org/neo4j/server/modules/ManagementApiModule.java","L20707","1","0","43","60","0","13","2319","0"
"L20712","Neo4jBrowserModule.java","community/server/src/main/java/org/neo4j/server/modules/Neo4jBrowserModule.java","L20707","1","0","22","10","0","7","1296","0"
"L20713","RESTApiModule.java","community/server/src/main/java/org/neo4j/server/modules/RESTApiModule.java","L20707","6","0","116","51","0","12","665","0"
"L20714","SecurityRulesModule.java","community/server/src/main/java/org/neo4j/server/modules/SecurityRulesModule.java","L20707","6","0","63","29","0","10","412","0"
"L20715","ServerModule.java","community/server/src/main/java/org/neo4j/server/modules/ServerModule.java","L20707","1","0","6","25","0","9","5350","0"
"L20716","ThirdPartyJAXRSModule.java","community/server/src/main/java/org/neo4j/server/modules/ThirdPartyJAXRSModule.java","L20707","4","0","57","45","0","13","412","0"
"L20717","WebAdminModule.java","community/server/src/main/java/org/neo4j/server/modules/WebAdminModule.java","L20707","3","0","49","56","0","15","2319","0"
"L20949","EnsureNeo4jPropertiesExist.java","community/server/src/main/java/org/neo4j/server/preflight/EnsureNeo4jPropertiesExist.java","L20948","3","0","42","3","0","2","2319","0"
"L20950","EnsurePreparedForHttpLogging.java","community/server/src/main/java/org/neo4j/server/preflight/EnsurePreparedForHttpLogging.java","L20948","8","0","91","5","0","4","2319","0"
"L20951","PerformRecoveryIfNecessary.java","community/server/src/main/java/org/neo4j/server/preflight/PerformRecoveryIfNecessary.java","L20948","4","0","56","21","0","8","412","0"
"L20952","PerformUpgradeIfNecessary.java","community/server/src/main/java/org/neo4j/server/preflight/PerformUpgradeIfNecessary.java","L20948","6","0","80","40","0","10","665","0"
"L20953","PreflightFailedException.java","community/server/src/main/java/org/neo4j/server/preflight/PreflightFailedException.java","L20948","1","0","10","1","0","1","2319","0"
"L20954","PreflightTask.java","community/server/src/main/java/org/neo4j/server/preflight/PreflightTask.java","L20948","1","0","6","1","0","1","2319","0"
"L20955","PreFlightTasks.java","community/server/src/main/java/org/neo4j/server/preflight/PreFlightTasks.java","L20948","5","0","35","8","0","4","412","0"
"L21324","Job.java","community/server/src/main/java/org/neo4j/server/rrd/Job.java","L21323","1","0","5","9","0","6","2319","0"
"L21325","JobScheduler.java","community/server/src/main/java/org/neo4j/server/rrd/JobScheduler.java","L21323","1","0","5","23","0","11","2319","0"
"L21326","RrdDbProvider.java","community/server/src/main/java/org/neo4j/server/rrd/RrdDbProvider.java","L21323","1","0","21","16","0","9","2319","0"
"L21327","RrdFactory.java","community/server/src/main/java/org/neo4j/server/rrd/RrdFactory.java","L21323","22","0","269","91","0","16","5350","0"
"L21328","RrdJob.java","community/server/src/main/java/org/neo4j/server/rrd/RrdJob.java","L21323","3","0","22","25","0","11","2319","0"
"L21329","RrdSampler.java","community/server/src/main/java/org/neo4j/server/rrd/RrdSampler.java","L21323","1","0","5","17","0","9","2319","0"
"L21330","RrdSamplerImpl.java","community/server/src/main/java/org/neo4j/server/rrd/RrdSamplerImpl.java","L21323","4","0","33","18","0","11","2319","0"
"L21331","Sampleable.java","community/server/src/main/java/org/neo4j/server/rrd/Sampleable.java","L21323","1","0","8","14","0","9","2319","0"
"L21332","ScheduledJob.java","community/server/src/main/java/org/neo4j/server/rrd/ScheduledJob.java","L21323","2","0","31","32","0","12","412","0"
"L21333","SystemBackedTimeSource.java","community/server/src/main/java/org/neo4j/server/rrd/SystemBackedTimeSource.java","L21323","1","0","10","14","0","7","2319","0"
"L21334","TimeSource.java","community/server/src/main/java/org/neo4j/server/rrd/TimeSource.java","L21323","1","0","4","10","0","6","2319","0"
"L21335","UnableToSampleException.java","community/server/src/main/java/org/neo4j/server/rrd/UnableToSampleException.java","L21323","1","0","5","10","0","5","2319","0"
"L21776","NoSuchScriptLanguageException.java","community/server/src/main/java/org/neo4j/server/scripting/NoSuchScriptLanguageException.java","L21775","1","0","8","2","0","2","2472","0"
"L21777","ScriptExecutor.java","community/server/src/main/java/org/neo4j/server/scripting/ScriptExecutor.java","L21775","1","0","11","2","0","2","2472","0"
"L21778","ScriptExecutorFactoryRepository.java","community/server/src/main/java/org/neo4j/server/scripting/ScriptExecutorFactoryRepository.java","L21775","2","0","21","6","0","3","2472","0"
"L21779","UserScriptClassWhiteList.java","community/server/src/main/java/org/neo4j/server/scripting/UserScriptClassWhiteList.java","L21775","1","0","39","2","0","2","2472","0"
"L22717","FastSlf4jLog.java","community/server/src/main/java/org/neo4j/server/web/FastSlf4jLog.java","L22716","6","0","54","8","0","3","1296","0"
"L22718","HttpConnectorFactory.java","community/server/src/main/java/org/neo4j/server/web/HttpConnectorFactory.java","L22716","1","0","37","17","0","9","533","0"
"L22719","HttpHeaderUtils.java","community/server/src/main/java/org/neo4j/server/web/HttpHeaderUtils.java","L22716","3","0","28","5","0","4","1636","0"
"L22720","InjectableWrapper.java","community/server/src/main/java/org/neo4j/server/web/InjectableWrapper.java","L22716","1","0","20","1","0","1","268","0"
"L22721","JaxRsServletHolderFactory.java","community/server/src/main/java/org/neo4j/server/web/JaxRsServletHolderFactory.java","L22716","6","0","91","19","1","8","2319","0"
"L22722","Jetty9WebServer.java","community/server/src/main/java/org/neo4j/server/web/Jetty9WebServer.java","L22716","31","0","483","51","0","18","412","0"
"L22723","JettyLifeCycleListenerAdapter.java","community/server/src/main/java/org/neo4j/server/web/JettyLifeCycleListenerAdapter.java","L22716","1","0","25","6","0","4","2319","0"
"L22724","JettyThreadCalculator.java","community/server/src/main/java/org/neo4j/server/web/JettyThreadCalculator.java","L22716","5","0","59","7","0","5","8","0"
"L22725","NeoJettyErrorHandler.java","community/server/src/main/java/org/neo4j/server/web/NeoJettyErrorHandler.java","L22716","1","0","34","2","0","2","2319","0"
"L22726","NeoServletContainer.java","community/server/src/main/java/org/neo4j/server/web/NeoServletContainer.java","L22716","3","0","41","35","0","13","5350","0"
"L22727","NoCacheHtmlFilter.java","community/server/src/main/java/org/neo4j/server/web/NoCacheHtmlFilter.java","L22716","3","0","33","2","0","2","233","0"
"L22728","ServerInternalSettings.java","community/server/src/main/java/org/neo4j/server/web/ServerInternalSettings.java","L22716","1","0","35","22","0","6","2319","0"
"L22729","SimpleUriBuilder.java","community/server/src/main/java/org/neo4j/server/web/SimpleUriBuilder.java","L22716","5","0","30","4","0","3","1126","0"
"L22730","WebServer.java","community/server/src/main/java/org/neo4j/server/web/WebServer.java","L22716","1","0","37","75","0","18","1296","0"
"L22731","WebServerProvider.java","community/server/src/main/java/org/neo4j/server/web/WebServerProvider.java","L22716","1","0","19","5","0","4","268","0"
"L22732","XForwardFilter.java","community/server/src/main/java/org/neo4j/server/web/XForwardFilter.java","L22716","1","0","19","9","0","5","2319","0"
"L22733","XForwardUtil.java","community/server/src/main/java/org/neo4j/server/web/XForwardUtil.java","L22716","11","0","106","2","0","1","412","0"
"L3039","ConsoleSessionCreator.java","community/server/src/main/java/org/neo4j/server/webadmin/console/ConsoleSessionCreator.java","L3038","1","0","9","6","0","5","412","0"
"L3040","ConsoleSessionFactory.java","community/server/src/main/java/org/neo4j/server/webadmin/console/ConsoleSessionFactory.java","L3038","1","0","8","3","0","2","412","0"
"L3041","ScriptSession.java","community/server/src/main/java/org/neo4j/server/webadmin/console/ScriptSession.java","L3038","1","0","6","4","0","3","1296","0"
"L6291","AccessDeniedDiscoveryRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/AccessDeniedDiscoveryRepresentation.java","L6290","1","0","16","2","0","2","1296","0"
"L6292","AuthorizationRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/AuthorizationRepresentation.java","L6290","1","0","21","6","0","3","412","0"
"L6293","ConstraintDefinitionRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/ConstraintDefinitionRepresentation.java","L6290","1","0","37","9","0","5","412","0"
"L6294","CypherPlanRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/CypherPlanRepresentation.java","L6290","3","0","70","4","0","3","2472","0"
"L6295","CypherRepresentationDispatcher.java","community/server/src/main/java/org/neo4j/server/rest/repr/CypherRepresentationDispatcher.java","L6290","2","0","17","2","0","2","2472","0"
"L6296","CypherResultRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/CypherResultRepresentation.java","L6290","13","0","105","32","0","10","2472","0"
"L6297","CypherStatisticsRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/CypherStatisticsRepresentation.java","L6290","1","0","27","4","0","3","2472","0"
"L6298","DatabaseRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/DatabaseRepresentation.java","L6290","1","0","41","34","0","12","665","0"
"L6299","DefaultFormat.java","community/server/src/main/java/org/neo4j/server/rest/repr/DefaultFormat.java","L6290","10","0","121","12","0","6","533","0"
"L6300","DiscoveryRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/DiscoveryRepresentation.java","L6290","1","0","21","9","0","4","2319","0"
"L6301","EntityRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/EntityRepresentation.java","L6290","1","0","5","3","0","2","1296","0"
"L6302","ExceptionRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/ExceptionRepresentation.java","L6290","11","0","112","32","0","9","533","0"
"L6303","ExtensionPointRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/ExtensionPointRepresentation.java","L6290","2","0","81","5","0","4","2319","0"
"L6304","FullPathRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/FullPathRepresentation.java","L6290","1","0","36","6","0","4","2319","0"
"L6305","IndexDefinitionRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/IndexDefinitionRepresentation.java","L6290","1","0","29","5","0","3","412","0"
"L6306","IndexedEntityRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/IndexedEntityRepresentation.java","L6290","1","0","42","5","0","4","2319","0"
"L6307","IndexRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/IndexRepresentation.java","L6290","2","0","37","10","0","6","5350","0"
"L6308","InputFormatProvider.java","community/server/src/main/java/org/neo4j/server/rest/repr/InputFormatProvider.java","L6290","2","0","32","6","0","5","268","0"
"L6309","ListEntityRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/ListEntityRepresentation.java","L6290","1","0","33","4","0","3","412","0"
"L6310","MapRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/MapRepresentation.java","L6290","14","0","80","17","1","9","2472","0"
"L6311","MediaTypeNotSupportedException.java","community/server/src/main/java/org/neo4j/server/rest/repr/MediaTypeNotSupportedException.java","L6290","6","0","60","7","0","4","2319","0"
"L6312","NodeAutoIndexRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/NodeAutoIndexRepresentation.java","L6290","1","0","17","7","0","4","5350","0"
"L6313","NodeIndexRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/NodeIndexRepresentation.java","L6290","1","0","18","5","0","4","2319","0"
"L6314","NodeIndexRootRepresentation.java","community/server/src/main/java/org/neo4j/server/rest/repr/NodeIndexRootRepresentation.java","L6290","2","0","24","5","0","4","2319","0"
