@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L20715","1","0","6","25","0","9","5350","false"
"L20716","4","0","57","45","0","13","412","false"
"L20717","3","0","49","56","0","15","2319","false"
"L20949","3","0","42","3","0","2","2319","false"
"L20950","8","0","91","5","0","4","2319","false"
"L20951","4","0","56","21","0","8","412","false"
"L20952","6","0","80","40","0","10","665","false"
"L20953","1","0","10","1","0","1","2319","false"
"L20954","1","0","6","1","0","1","2319","false"
"L20955","5","0","35","8","0","4","412","false"
"L21324","1","0","5","9","0","6","2319","false"
"L21325","1","0","5","23","0","11","2319","false"
"L21326","1","0","21","16","0","9","2319","false"
"L21327","22","0","269","91","0","16","5350","false"
"L21328","3","0","22","25","0","11","2319","false"
"L21329","1","0","5","17","0","9","2319","false"
"L21330","4","0","33","18","0","11","2319","false"
"L21331","1","0","8","14","0","9","2319","false"
"L21332","2","0","31","32","0","12","412","false"
"L21333","1","0","10","14","0","7","2319","false"
"L21334","1","0","4","10","0","6","2319","false"
"L21335","1","0","5","10","0","5","2319","false"
"L21776","1","0","8","2","0","2","2472","false"
"L21777","1","0","11","2","0","2","2472","false"
"L21778","2","0","21","6","0","3","2472","false"
"L21779","1","0","39","2","0","2","2472","false"
"L22717","6","0","54","8","0","3","1296","false"
"L22718","1","0","37","17","0","9","533","false"
"L22719","3","0","28","5","0","4","1636","false"
"L22720","1","0","20","1","0","1","268","false"
"L22721","6","0","91","19","1","8","2319","false"
"L22722","31","0","483","51","0","18","412","false"
"L22723","1","0","25","6","0","4","2319","false"
"L22724","5","0","59","7","0","5","8","false"
"L22725","1","0","34","2","0","2","2319","false"
"L22726","3","0","41","35","0","13","5350","false"
"L22727","3","0","33","2","0","2","233","false"
"L22728","1","0","35","22","0","6","2319","false"
"L22729","5","0","30","4","0","3","1126","false"
"L22730","1","0","37","75","0","18","1296","false"
"L22731","1","0","19","5","0","4","268","false"
"L22732","1","0","19","9","0","5","2319","false"
"L22733","11","0","106","2","0","1","412","false"
"L3039","1","0","9","6","0","5","412","false"
"L3040","1","0","8","3","0","2","412","false"
"L3041","1","0","6","4","0","3","1296","false"
"L6291","1","0","16","2","0","2","1296","false"
"L6292","1","0","21","6","0","3","412","false"
"L6293","1","0","37","9","0","5","412","false"
"L6294","3","0","70","4","0","3","2472","false"
"L6295","2","0","17","2","0","2","2472","false"
"L6296","13","0","105","32","0","10","2472","false"
"L6297","1","0","27","4","0","3","2472","false"
"L6298","1","0","41","34","0","12","665","false"
"L6299","10","0","121","12","0","6","533","false"
"L6300","1","0","21","9","0","4","2319","false"
"L6301","1","0","5","3","0","2","1296","false"
"L6302","11","0","112","32","0","9","533","false"
"L6303","2","0","81","5","0","4","2319","false"
"L6304","1","0","36","6","0","4","2319","false"
"L6305","1","0","29","5","0","3","412","false"
"L6306","1","0","42","5","0","4","2319","false"
"L6307","2","0","37","10","0","6","5350","false"
"L6308","2","0","32","6","0","5","268","false"
"L6309","1","0","33","4","0","3","412","false"
"L6310","14","0","80","17","1","9","2472","false"
"L6311","6","0","60","7","0","4","2319","false"
"L6312","1","0","17","7","0","4","5350","false"
"L6313","1","0","18","5","0","4","2319","false"
"L6314","2","0","24","5","0","4","2319","false"
"L6315","2","0","138","20","0","8","412","false"
"L6316","13","0","119","9","0","7","5350","false"
"L6317","15","0","110","18","0","11","665","false"
"L6318","11","0","216","55","0","19","1296","false"
"L6319","2","0","35","19","0","9","412","false"
"L6320","4","0","90","12","0","9","665","false"
"L6321","10","0","200","5","0","4","2319","false"
"L6322","1","0","17","7","0","4","5350","false"
"L6323","1","0","18","3","0","2","1296","false"
"L6324","2","0","22","5","0","4","2319","false"
"L6325","1","0","85","17","0","8","412","false"
"L6326","8","0","130","6","0","4","2472","false"
"L6327","4","0","27","3","0","3","5350","false"
"L6328","16","0","99","10","0","6","5350","false"
"L6329","1","0","22","1","0","1","1636","false"
"L6330","1","0","39","3","0","2","5350","false"
"L6331","1","0","74","9","0","6","815","false"
"L6332","1","0","45","8","0","5","815","false"
"L6333","5","0","52","5","0","4","2319","false"
"L6334","8","0","22","3","0","3","1126","false"
"L6335","1","0","11","6","0","4","1636","false"
"L6336","1","0","14","8","0","6","2319","false"
"L9957","5","0","38","7","0","5","2319","false"
"L9958","10","0","146","76","0","17","2319","false"
"L9959","5","0","48","14","0","6","5350","false"
"L9960","6","0","39","2","0","2","1296","false"
"L9961","10","0","105","45","0","16","533","false"
"L9962","90","0","1380","170","1","22","412","false"
"L9963","2","0","56","15","0","9","1636","false"
"L9964","28","0","300","32","0","12","533","false"
"L9965","20","0","271","24","0","11","2319","false"
"L9966","9","0","263","16","0","10","665","false"
"L9967","1","0","16","6","0","3","533","false"
"L9968","1","0","5","3","0","2","1296","false"
"L9969","1","0","20","6","0","3","533","false"
"L9970","1","0","10","2","0","2","1636","false"
"L9971","7","0","90","7","0","4","2319","false"
"L9972","179","0","1715","155","0","24","412","false"
"L9973","2","0","17","2","0","2","1636","false"
"L9974","4","0","79","16","0","6","533","false"
"L9975","1","0","16","2","0","2","665","false"
"L9976","13","0","304","31","2","12","5350","false"
"L9977","1","0","7","1","0","1","533","false"
"L13314","6","0","58","6","0","5","224","false"
"L13315","20","0","166","26","0","8","815","false"
"L13316","2","0","39","6","0","2","2319","false"
"L13317","18","0","133","12","0","6","665","false"
"L13535","15","0","245","12","0","3","412","false"
"L13536","4","0","25","4","0","2","412","false"
"L13537","8","0","106","4","0","2","2319","false"
"L13538","14","0","111","9","0","3","2319","false"
"L13900","1","0","37","34","0","10","412","false"
"L13930","1","0","11","4","0","3","268","false"
"L13931","1","0","10","8","0","5","533","false"
"L13932","1","0","21","5","0","4","2319","false"
"L13933","7","0","128","13","0","7","665","false"
"L13934","3","0","29","6","0","5","236","false"
"L13935","21","0","168","10","0","7","7","false"
"L13936","1","0","17","5","0","4","2319","false"
"L13937","10","0","105","36","0","14","533","false"
"L13938","1","0","19","8","0","5","533","false"
"L13939","16","0","131","13","1","7","533","false"
"L13940","1","0","13","5","0","4","2319","false"
"L13941","11","0","67","7","0","4","2319","false"
"L13942","1","0","10","8","0","5","533","false"
"L13943","1","0","5","5","0","4","2319","false"
"L13944","28","0","202","17","0","8","665","false"
"L13945","2","0","49","15","0","7","268","false"
"L13946","2","0","18","5","0","4","2319","false"
"L13947","4","0","52","5","0","4","2319","false"
"L14514","1","0","6","4","0","3","2472","false"
"L14515","13","0","178","7","0","4","533","false"
"L14516","4","0","85","10","0","5","2319","false"
"L14517","1","0","25","4","0","3","2472","false"
"L14518","4","0","67","7","0","3","2319","false"
"L15062","1","0","4","1","0","1","1126","false"
"L15063","3","0","57","8","0","5","5350","false"
"L15064","1","0","9","3","0","2","2319","false"
"L15065","7","0","61","9","0","5","5350","false"
"L15066","1","0","19","7","0","4","2472","false"
"L15067","5","0","59","5","0","4","665","false"
"L15343","1","0","15","4","0","4","7","false"
"L15344","2","0","27","4","0","4","7","false"
"L15345","11","0","109","14","0","8","5350","false"
"L15346","1","0","10","17","0","8","2319","false"
"L15347","1","0","13","6","0","4","505","false"
"L15696","2","0","20","3","0","2","2472","false"
"L15697","3","0","42","4","0","4","828","false"
"L15698","1","0","12","1","0","1","533","false"
"L15699","25","0","344","53","1","14","2319","false"
"L15700","13","0","146","4","0","2","2472","false"
"L15701","12","0","123","21","4","7","2472","false"
"L15702","9","0","94","8","0","5","2472","false"
"L15703","6","0","61","3","0","2","828","false"
"L15704","1","0","8","3","0","2","2472","false"
"L15705","2","0","23","3","0","2","2472","false"
"L15706","1","0","33","4","0","3","1636","false"
"L15707","27","0","187","29","0","11","815","false"
"L15708","8","0","105","9","0","5","224","false"
"L15709","1","0","44","39","4","14","2319","false"
"L15710","1","0","38","1","0","1","310","false"
"L15711","33","0","350","65","0","13","412","false"
"L15712","19","0","244","28","0","11","412","false"
"L15713","1","0","11","12","0","6","2472","false"
"L15714","1","0","5","2","0","2","2472","false"
"L15715","1","0","14","2","0","2","2472","false"
"L15716","1","0","20","17","0","10","2472","false"
"L15717","3","0","66","18","0","11","1636","false"
"L21540","2","0","26","21","0","9","412","false"
"L21541","2","0","39","12","0","7","2319","false"
"L21542","2","0","25","23","0","9","412","false"
"L21543","1","0","17","22","0","9","412","false"
"L21544","1","0","17","21","0","9","412","false"
"L21784","4","0","62","2","0","2","2472","false"
"L21785","7","0","87","2","0","2","2472","false"
"L21786","1","0","16","2","0","2","2472","false"
"L21787","13","0","77","2","0","2","2472","false"
"L21945","1","0","8","5","0","1","412","false"
"L21946","1","0","5","2","0","1","412","false"
"L21947","12","0","115","8","0","3","2319","false"
"L21948","6","0","83","2","0","1","412","false"
"L21949","17","0","170","16","0","5","412","false"
"L21950","6","0","68","2","0","1","412","false"
"L21951","12","0","86","8","0","4","412","false"
"L21952","1","0","13","8","0","3","412","false"
"L21953","11","0","92","8","0","4","412","false"
"L22484","7","0","95","2","0","2","1296","false"
"L22485","1","0","20","2","0","2","1296","false"
"L22486","10","0","132","2","0","2","1296","false"
"L22487","1","0","37","4","0","4","533","false"
"L7755","11","0","201","16","0","8","533","false"
"L7756","15","0","346","16","0","8","533","false"
"L7757","12","0","117","17","0","9","533","false"
"L7758","1","0","44","3","0","2","1296","false"
"L7759","1","0","49","3","0","2","1296","false"
"L7760","7","0","96","13","0","8","533","false"
"L7761","23","0","376","25","0","9","533","false"
"L7762","13","0","52","9","0","5","5350","false"
"L7763","7","0","114","11","0","6","1296","false"
"L9520","3","0","55","2","0","2","5350","false"
"L14523","5","0","112","7","0","6","412","false"
"L14524","4","0","47","15","0","6","412","false"
"L14525","1","0","19","7","0","6","412","false"
"L14526","6","0","67","7","0","6","412","false"
"L14527","13","0","93","5","0","4","412","false"
"L14528","1","0","20","7","0","6","412","false"
"L14825","1","0","18","4","0","3","2472","false"
"L14826","3","0","69","4","0","3","2472","false"
"L14827","4","0","47","4","0","3","2472","false"
"L14828","2","0","45","4","0","3","2472","false"
"L14829","1","0","31","4","0","3","2472","false"
"L14830","2","0","68","4","0","3","2472","false"
"L14831","1","0","32","4","0","3","2472","false"
"L14832","2","0","47","10","0","5","2319","false"
"L14833","3","0","41","4","0","3","2472","false"
"L14834","6","0","54","4","0","3","2472","false"
"L15766","12","0","137","7","0","5","310","false"
"L15767","1","0","14","8","0","5","310","false"
"L15768","1","0","14","7","0","5","310","false"
"L15769","1","0","14","8","0","5","310","false"
"L15770","7","0","71","18","0","8","2319","false"
"L15771","1","0","18","9","0","5","310","false"
"L22111","1","0","15","2","0","2","2319","false"
"L22112","1","0","16","2","0","2","1296","false"
"L2043","1","0","26","7","0","5","505","false"
"L2044","2","0","46","7","0","5","1636","false"
"L2045","2","0","61","9","0","7","2319","false"
"L2046","1","0","28","4","0","3","1636","false"
"L2047","2","0","53","28","0","13","2319","false"
"L2048","1","0","81","8","0","5","505","false"
"L2049","1","0","20","5","0","5","2319","false"
"L2050","1","0","44","10","0","8","815","false"
"L2051","6","0","94","15","0","8","505","false"
"L2052","2","0","44","35","0","15","199","false"
"L2053","3","0","82","10","0","7","412","false"
"L2054","2","0","37","27","0","12","412","false"
"L2055","1","0","46","18","0","8","412","false"
"L2056","1","0","17","14","0","10","505","false"
"L2057","2","0","53","17","0","5","412","false"
"L2058","1","0","141","18","0","10","2319","false"
"L2059","12","0","144","34","0","10","5350","false"
"L2060","16","0","295","27","0","12","412","false"
"L2061","3","0","30","1","0","1","2319","false"
"L2062","1","0","39","23","0","9","828","false"
"L2063","8","0","55","9","0","4","1126","false"
"L2064","2","0","144","33","0","15","2319","false"
"L2065","1","0","69","10","0","5","2472","false"
"L3095","30","0","434","46","0","11","2319","false"
"L3096","12","0","227","32","0","10","505","false"
"L3097","1","0","37","11","0","7","412","false"
"L3098","19","0","204","56","0","19","412","false"
"L3099","4","0","38","7","0","4","665","false"
"L3100","1","0","5","5","0","3","2319","false"
"L6218","7","0","209","31","0","11","815","false"
"L6219","1","0","347","14","0","9","2319","false"
"L6220","1","0","77","9","0","7","2319","false"
"L6221","2","0","615","27","0","11","5350","false"
"L6222","2","0","80","6","0","5","815","false"
"L6223","1","0","164","6","0","5","815","false"
"L6224","1","0","28","8","0","6","5350","false"
"L6225","1","0","114","9","0","5","2472","false"
"L6226","1","0","283","38","0","14","292","false"
"L6227","1","0","34","11","0","6","815","false"
"L6228","1","0","48","7","0","4","533","false"
"L6229","1","0","40","6","0","5","815","false"
"L6230","1","0","61","9","0","7","815","false"
"L6231","4","0","84","3","0","2","3997","false"
"L6232","3","0","52","8","0","6","2319","false"
"L6233","1","0","131","21","0","13","815","false"
"L6234","4","0","86","16","0","9","665","false"
"L6235","1","0","107","11","0","9","815","false"
"L6236","1","0","133","6","0","5","815","false"
"L6237","3","0","728","29","1","13","2319","false"
"L6238","2","0","474","22","0","10","2319","false"
"L6239","4","0","82","18","0","6","2319","false"
"L6240","1","0","27","6","0","5","815","false"
"L6241","4","0","49","7","0","5","505","false"
"L6242","1","0","216","16","0","7","412","false"
"L6243","1","0","32","7","0","4","224","false"
"L6244","5","0","236","10","0","8","815","false"
"L6245","3","0","214","7","0","4","533","false"
"L6246","1","0","11","9","0","5","3997","false"
"L6247","1","0","18","6","0","5","815","false"
"L6248","1","0","216","11","0","6","2472","false"
"L6249","1","0","94","6","0","5","815","false"
"L6250","1","0","40","6","0","5","815","false"
"L6251","40","0","463","82","0","18","412","false"
"L6252","13","0","167","18","0","6","5350","false"
"L6253","1","0","131","9","0","7","815","false"
"L6254","2","0","260","9","0","7","815","false"
"L6255","1","0","180","28","0","11","2319","false"
"L6256","1","0","152","21","0","9","2319","false"
"L6257","1","0","123","6","0","6","2319","false"
"L6258","1","0","109","6","0","5","815","false"
"L6259","1","0","5","3","0","3","2472","false"
"L6260","3","0","180","10","0","5","533","false"
"L19778","1","0","81","46","0","12","665","false"
"L19779","1","0","38","2","0","2","2319","false"
"L19780","1","0","37","2","0","2","2319","false"
"L19781","2","0","43","9","0","5","1296","false"
"L19782","4","0","66","16","0","9","5350","false"
"L19783","1","0","106","48","0","16","665","false"
"L20251","4","0","104","14","0","6","665","false"
"L20583","1","0","15","3","0","2","412","false"
"L20719","1","0","29","4","0","3","412","false"
"L20720","1","0","35","36","0","11","1296","false"
"L20721","1","0","31","43","0","12","665","false"
"L20722","1","0","11","12","0","5","412","false"
"L20723","1","0","42","39","0","11","412","false"
"L20957","3","0","112","16","0","11","2319","false"
"L20958","1","0","97","26","0","11","412","false"
"L20959","3","0","137","45","0","14","199","false"
"L20960","3","0","106","16","0","5","412","false"
"L21337","1","0","33","22","0","13","412","false"
"L21338","1","0","22","17","0","8","2319","false"
"L21339","1","0","49","43","0","14","412","false"
"L21340","1","0","78","40","0","13","5350","false"
"L21341","1","0","49","38","0","12","412","false"
"L21342","3","0","162","64","0","16","665","false"
"L21343","1","0","22","13","0","7","2319","false"
"L21344","1","0","78","29","0","10","2319","false"
"L21781","1","0","26","2","0","2","2472","false"
"L22735","2","0","76","21","0","11","2319","false"
"L22736","1","0","21","3","0","3","2472","false"
"L22737","1","0","34","8","0","6","533","false"
"L22738","3","0","69","38","0","16","412","false"
"L22739","1","0","45","2","0","2","233","false"
"L22740","2","0","100","38","0","14","665","false"
"L23546","1","0","37","3","0","1","2319","false"
"L53185","1","0","38","3","0","3","7","false"
"L53186","1","0","29","10","0","8","1296","false"
"L53187","11","0","278","20","0","9","533","false"
"L53188","8","0","59","7","0","6","533","false"
"L53189","4","0","66","23","0","14","2319","false"
"L187213","1","0","34","3","0","3","2472","false"
"L187214","5","0","85","10","0","8","2472","false"
"L2392","1","0","86","12","0","6","2319","false"
"L2393","1","0","44","16","0","10","505","false"
"L2394","1","0","67","14","0","8","412","false"
"L2395","1","0","44","7","0","5","2472","false"
"L2396","2","0","85","29","0","12","5350","false"
"L2397","1","0","84","19","0","12","5350","false"
"L2398","1","0","43","28","0","10","412","false"
"L2399","1","0","104","23","0","9","2319","false"
"L3043","1","0","35","38","0","15","5350","false"
"L6338","1","0","109","19","0","8","2472","false"
"L6339","1","0","24","10","0","5","1636","false"
"L6340","1","0","52","2","0","2","1296","false"
"L6341","3","0","132","14","1","8","2472","false"
"L6342","2","0","118","25","0","8","412","false"
"L6343","1","0","18","6","0","3","5350","false"
"L6344","3","0","99","3","0","2","665","false"
"L6345","4","0","85","2","0","2","1636","false"
"L6346","1","0","73","19","0","8","412","false"
"L6347","1","0","105","15","0","8","5350","false"
"L6348","5","0","119","4","0","3","5350","false"
"L6349","1","0","32","11","0","9","815","false"
"L6350","1","0","23","3","0","2","2319","false"
"L6351","1","0","122","15","1","4","815","false"
"L9979","1","0","33","8","0","6","665","false"
"L9980","1","0","88","5","0","4","665","false"
"L9981","19","0","1397","103","0","18","412","false"
"L9982","1","0","39","18","0","9","5350","false"
"L9983","1","0","55","15","0","10","815","false"
"L9984","2","0","191","51","0","14","5350","false"
"L9985","2","0","156","50","0","13","5350","false"
"L9986","23","0","1712","123","0","21","5350","false"
"L9987","1","0","449","14","0","8","2319","false"
"L9988","14","0","887","12","0","9","5350","false"
"L9989","3","0","47","3","0","3","505","false"
"L13319","1","0","62","14","0","8","2319","false"
"L13540","1","0","186","10","0","2","412","false"
"L13541","1","0","32","6","0","2","2319","false"
"L13542","1","0","198","7","0","3","5350","false"
"L13902","1","0","77","38","0","10","2319","false"
"L13949","12","0","487","50","0","14","412","false"
"L13950","1","0","130","4","0","3","533","false"
"L13951","1","0","29","3","0","3","505","false"
"L13952","1","0","20","3","0","2","1126","false"
"L15069","1","0","31","4","0","3","533","false"
"L15070","1","0","65","9","0","5","5350","false"
"L15071","1","0","49","9","0","5","5350","false"
"L15072","6","0","359","39","0","15","815","false"
"L15073","4","0","91","20","0","8","5350","false"
"L15349","4","0","226","13","0","7","533","false"
"L15350","1","0","26","3","0","2","5350","false"
"L15351","1","0","26","3","0","2","5350","false"
"L15352","1","0","21","3","0","3","2472","false"
"L15353","1","0","21","3","0","3","2472","false"
"L15354","1","0","18","3","0","3","2472","false"
"L15355","1","0","20","3","0","3","2472","false"
"L15356","1","0","67","3","0","2","5350","false"
"L15357","3","0","185","21","0","10","665","false"
"L15358","1","0","87","3","0","2","1126","false"
"L15359","2","0","133","14","0","7","5350","false"
"L15719","2","0","78","31","1","10","412","false"
"L15720","15","0","644","55","1","13","5350","false"
"L15721","10","0","216","3","0","2","2472","false"
"L15722","6","0","112","10","2","3","2472","false"
"L15723","1","0","43","4","0","3","2472","false"
"L15724","1","0","42","4","0","3","2472","false"
"L15725","3","0","153","18","0","7","310","false"
"L15726","3","0","65","3","0","2","828","false"
"L15727","3","0","215","26","2","12","533","false"
"L15728","4","0","157","15","0","10","412","false"
"L15729","2","0","395","42","0","12","412","false"
"L18994","1","0","530","19","0","10","5350","false"
"L18995","1","0","11","3","0","3","2472","false"
"L18996","1","0","11","3","0","3","2472","false"
"L18997","1","0","11","3","0","3","2472","false"
"L18998","1","0","11","3","0","3","2472","false"
"L18999","1","0","11","3","0","3","2472","false"
"L21789","1","0","17","2","0","2","2472","false"
"L21790","1","0","55","2","0","2","2472","false"
"L21791","1","0","45","6","0","5","505","false"
"L21792","1","0","25","2","0","2","2472","false"
"L21793","2","0","73","6","0","5","505","false"
"L21956","6","0","178","5","0","1","412","false"
"L21957","2","0","30","4","0","3","2319","false"
"L21958","5","0","174","13","0","4","665","false"
"L21959","7","0","70","9","0","3","412","false"
"L21960","1","0","61","4","0","2","2319","false"
"L21961","1","0","35","11","0","6","101","false"
"L22489","1","0","60","2","0","2","1296","false"
"L22490","1","0","39","2","0","2","1296","false"
"L23353","5","0","211","36","0","15","1296","false"
"L2781","1","0","35","19","0","10","412","false"
"L7765","1","0","54","12","0","7","828","false"
"L7766","1","0","70","3","0","2","1126","false"
"L7767","1","0","130","5","0","4","828","false"
"L7768","1","0","49","7","0","5","5350","false"
"L7769","4","0","80","13","0","8","5350","false"
"L7770","1","0","128","11","0","8","310","false"
"L7771","1","0","53","3","0","2","5350","false"
"L9522","1","0","41","2","0","2","5350","false"
"L12562","1","0","27","4","0","3","143","false"
"L15773","1","0","55","3","0","3","224","false"
"L16948","1","0","57","2","0","2","5350","false"
"L16949","1","0","86","13","0","9","1296","false"
"L16950","10","0","651","57","1","20","815","false"
"L16951","8","0","144","9","0","4","310","false"
"L3093","46","0","676","9","0","6","2472","false"
"L4266","1","0","8","5","0","4","3997","false"
"L4267","1","0","11","5","0","4","3997","false"
"L4268","1","0","6","3","0","2","3997","false"
"L4269","1","0","11","5","0","4","3997","false"
"L4270","1","0","12","5","0","4","3997","false"
"L4271","1","0","6","5","0","4","3997","false"
"L4272","21","0","373","13","0","8","1636","false"
"L4273","1","0","8","5","0","4","3997","false"
"L4274","1","0","9","6","0","5","1636","false"
"L4275","1","0","8","5","0","4","3997","false"
"L4276","2","0","38","10","0","6","5350","false"
"L4277","1","0","6","5","0","4","3997","false"
"L4278","1","0","11","5","0","4","3997","false"
"L4279","6","0","89","7","0","5","2472","false"
"L4280","7","0","67","13","0","6","2319","false"
"L4281","1","0","10","5","0","4","3997","false"
"L6264","1","0","22","8","0","5","533","false"
"L6265","1","0","5","5","0","4","3997","false"
"L6266","1","0","7","5","0","4","3997","false"
"L6267","1","0","11","5","0","4","3997","false"
"L6268","1","0","13","7","0","6","1296","false"
"L6269","1","0","14","3","0","1","533","false"
"L6270","5","0","126","12","0","8","505","false"
"L6271","3","0","43","13","0","8","412","false"
"L6272","2","0","49","5","0","4","3997","false"
"L6273","1","0","33","9","0","7","412","false"
"L6274","3","0","47","9","0","5","3997","false"
"L6275","3","0","57","6","0","5","1634","false"
"L6276","1","0","85","13","0","9","828","false"
"L6277","57","0","433","21","0","9","533","false"
"L6278","12","0","145","27","0","13","1296","false"
