"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L187983","AutoIndexerExampleTests","examples.AutoIndexerExampleTests","L187782","L103","community\lucene-index\src\test\java\examples\AutoIndexerExampleTests.java","51","1","242","2","0.256881","1","2","2","0.208333","0.223881","40","30","3","1","1","8","20","0","0","29","36","0","0.205882","35","0","0","7","0.205882","35","1","1","0","0","1","135","192","3","1","3","1","7","1","6","0","7","66","1","6","0","135","192","3","1","3","1","7","1","6","0","7","66","1","6","0","0","0","42","13","22","0","0","0","0","19","0","1","0","0","2","3","0","5","15","0","0","0","0","0","13","0","0","0","0","0","0","0","0","2","0","0","4","0","8","3","2","0","0"
"L188002","ImdbDocTest","examples.ImdbDocTest","L187782","L103","community\lucene-index\src\test\java\examples\ImdbDocTest.java","76","1","662","2","0","0","0","0","0","0","0","0","3","2","2","26","34","0","0","71","87","0.133333","0.264033","127","10","2","13","0.258687","134","0","0","0","0","0","354","557","2","0","2","0","16","0","14","1","16","240","0","14","1","384","587","3","0","3","0","17","0","15","1","17","240","0","15","1","0","4","49","18","74","0","0","0","0","0","0","1","0","0","1","8","0","30","36","0","0","0","0","0","45","0","0","0","0","0","0","0","0","2","0","0","4","0","14","0","4","0","0"
"L188061","LuceneIndexSiteExamples","examples.LuceneIndexSiteExamples","L187782","L103","community\lucene-index\src\test\java\examples\LuceneIndexSiteExamples.java","35","1","102","2","0","0","0","0","0","0","0","0","1","1","1","7","8","0","0","13","19","0","0.12069","7","0","0","7","0.12069","7","0","0","0","0","0","51","68","2","0","2","0","6","0","6","1","6","20","0","6","1","51","68","2","0","2","0","6","0","6","1","6","20","0","6","1","0","0","15","2","10","0","0","0","0","0","0","0","0","0","0","0","0","8","15","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"L188073","RelatedNodesQuestionTest","examples.RelatedNodesQuestionTest","L187782","L103","community\lucene-index\src\test\java\examples\RelatedNodesQuestionTest.java","40","1","62","2","0","0","0","0","0","0","0","0","1","1","1","1","11","0","0","13","14","0.5","0.25","7","5","1","1","0.25","7","0","0","0","0","0","21","23","0","0","0","0","1","0","1","0","1","12","0","1","0","21","23","0","0","0","0","1","0","1","0","1","12","0","1","0","0","0","5","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L188081","TestMatchingOfCircularPattern","matching.TestMatchingOfCircularPattern","L188077","L103","community\graph-matching\src\test\java\matching\TestMatchingOfCircularPattern.java","53","1","294","2","0.0286086","1","1","1","0.0413223","0.0416667","10","9","3","3","3","27","14","2","1","18","33","0","0","0","0","0","11","0","0","0","0","0","0","0","176","195","6","0","6","0","15","0","10","1","15","80","0","10","1","220","242","14","0","9","0","20","0","14","1","24","93","4","18","1","0","0","71","6","43","0","0","2","0","7","0","1","0","0","4","1","0","34","55","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","7","0","3","0","0","0","0"
"L188163","TestPatternMatching","matching.TestPatternMatching","L188077","L103","community\graph-matching\src\test\java\matching\TestPatternMatching.java","61","1","840","2","0.340707","11","38","25","0.287179","0.285928","224","191","2","4","3","79","22","0","0","34","56","0","0.0279001","19","0","0","18","0.0275362","19","1","1","0","0","1","662","771","3","0","3","0","22","1","17","2","22","471","1","17","2","671","780","9","0","9","0","22","7","17","2","23","471","7","18","2","0","0","124","7","91","0","0","0","0","62","0","1","0","2","0","2","0","5","47","0","0","0","0","0","85","0","0","0","0","0","0","0","0","1","0","0","10","0","4","1","2","0","0"
"L188241","RebuildCountsTest","counts.RebuildCountsTest","L188238","L103","community\neo4j\src\test\java\counts\RebuildCountsTest.java","57","1","237","2","0","0","0","0","0","0","0","0","1","3","3","19","28","0","0","33","48","0.2","0.0580645","9","1","1","4","0.0580645","9","0","0","0","0","0","146","181","9","0","9","0","15","1","4","0","15","58","1","4","0","146","181","9","0","9","0","15","1","4","0","15","58","1","4","0","0","0","40","1","19","0","0","0","0","0","0","0","0","0","0","3","0","9","31","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0","0"
"L188294","TestNoFileDescriptorLeaks","files.TestNoFileDescriptorLeaks","L188291","L103","community\neo4j\src\test\java\files\TestNoFileDescriptorLeaks.java","42","1","129","2","0","0","0","0","0","0","0","0","2","2","2","7","6","0","0","7","13","0","0.0512821","4","0","0","4","0.0512821","4","0","0","0","0","0","74","88","5","1","5","1","6","1","3","1","6","27","1","3","1","74","88","5","1","5","1","6","1","3","1","6","27","1","3","1","0","0","20","3","5","0","0","0","0","0","0","1","0","0","0","0","0","4","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0","1","2","0","0","0"
"L188323","CountsStoreRecoveryTest","recovery.CountsStoreRecoveryTest","L188318","L103","community\neo4j\src\test\java\recovery\CountsStoreRecoveryTest.java","50","1","144","2","0","0","0","0","0","0","0","0","1","1","1","9","17","0","0","20","29","0","0.0434783","3","0","0","4","0.0361446","3","0","0","0","0","0","66","81","3","0","3","0","9","1","3","0","9","21","1","3","0","80","95","3","0","3","0","10","1","4","0","15","25","1","9","0","0","0","31","2","7","0","0","0","0","0","0","0","0","0","0","1","0","3","26","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","0","0","2","0","0","0"
"L188355","TestRecoveryMultipleDataSources","recovery.TestRecoveryMultipleDataSources","L188318","L103","community\neo4j\src\test\java\recovery\TestRecoveryMultipleDataSources.java","43","1","94","2","0","0","0","0","0","0","0","0","1","1","1","2","15","0","0","21","23","0.333333","0.26087","12","9","1","2","0.26087","12","0","0","0","0","0","34","52","1","0","1","0","2","0","2","0","2","17","0","2","0","34","52","1","0","1","0","2","0","2","0","2","17","0","2","0","0","0","5","2","5","0","0","0","0","0","0","0","0","0","0","2","0","1","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0"
"L188365","TestRecoveryScenarios","recovery.TestRecoveryScenarios","L188318","L103","community\neo4j\src\test\java\recovery\TestRecoveryScenarios.java","64","1","338","2","0","0","0","0","0","0","0","0","2","2","2","23","25","0","0","39","58","0.111111","0.0840708","19","3","1","8","0.0766129","19","0","0","0","0","0","207","252","5","0","5","0","19","1","8","1","19","95","1","8","1","229","275","8","0","8","0","22","3","8","1","22","97","3","8","1","0","0","66","7","11","0","0","0","0","0","0","1","0","0","0","4","0","5","53","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","8","0","3","4","0","0","0"
"L188459","TestConcurrentRotation","synchronization.TestConcurrentRotation","L188455","L103","community\neo4j\src\test\java\synchronization\TestConcurrentRotation.java","41","1","206","2","0","0","0","0","0","0","0","0","2","0","0","4","8","5","2","10","14","0","0.0512821","2","0","0","2","0.0261438","4","1","1","0","0","1","37","47","8","1","6","0","4","0","1","0","16","12","0","4","0","149","166","20","1","9","0","14","0","6","1","89","49","2","54","4","0","0","58","5","7","0","0","0","0","0","0","1","0","0","2","0","0","1","48","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","2","0","9","1","0","1","2","0","0"
"L188548","TestStartTransactionDuringLogRotation","synchronization.TestStartTransactionDuringLogRotation","L188455","L103","community\neo4j\src\test\java\synchronization\TestStartTransactionDuringLogRotation.java","44","1","158","2","0","0","0","0","0","0","0","0","1","1","1","4","12","2","0","10","14","0","0.128571","9","0","0","5","0.0882353","9","0","0","0","0","0","61","82","10","0","10","0","4","1","4","1","4","24","1","4","1","93","115","10","0","10","0","7","1","7","1","7","33","1","7","1","0","0","29","5","1","0","0","0","0","0","0","1","0","0","0","1","0","3","21","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0"
"L188604","DatabaseContentVerifier","upgrade.DatabaseContentVerifier","L188587","L103","community\neo4j\src\test\java\upgrade\DatabaseContentVerifier.java","48","1","185","2","0","0","0","0","0","0","0","0","1","3","3","15","15","2","6","25","34","0","0.00775194","1","0","0","10","0.00775194","1","0","0","0","0","0","128","138","4","0","4","0","9","0","9","0","9","67","0","9","0","128","138","4","0","4","0","9","0","9","0","9","67","0","9","0","0","0","22","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","21","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L188630","FailToStartStoreMigratorIT","upgrade.FailToStartStoreMigratorIT","L188587","L103","community\neo4j\src\test\java\upgrade\FailToStartStoreMigratorIT.java","42","1","76","2","0","0","0","0","0","0","0","0","1","1","1","2","10","0","0","7","8","0","0.125","4","0","0","2","0.125","4","0","0","0","0","0","28","35","2","0","2","0","1","1","1","0","1","11","1","1","0","28","35","2","0","2","0","1","1","1","0","1","11","1","1","0","0","0","9","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","1","0","1","0","0","0"
"L188636","ListAccumulatorMigrationProgressMonitor","upgrade.ListAccumulatorMigrationProgressMonitor","L188587","L103","community\neo4j\src\test\java\upgrade\ListAccumulatorMigrationProgressMonitor.java","27","1","65","2","0","0","0","0","0","0","0","0","3","0","0","6","1","2","2","0","6","0","0","0","0","0","7","0","0","1","1","0","0","1","33","39","3","0","3","0","6","0","6","0","6","6","0","6","0","33","39","3","0","3","0","6","0","6","0","6","6","0","6","0","0","0","16","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"L188651","StoreUpgradeOnStartupTest","upgrade.StoreUpgradeOnStartupTest","L188587","L103","community\neo4j\src\test\java\upgrade\StoreUpgradeOnStartupTest.java","57","1","151","2","0","0","0","0","0","0","0","0","2","1","1","9","18","0","0","13","20","0","0.127907","11","0","0","7","0.127907","11","0","0","0","0","0","75","95","3","0","3","0","7","0","6","0","7","23","0","6","0","75","95","3","0","3","0","7","0","6","0","7","23","0","6","0","0","1","19","2","2","0","0","0","0","0","0","1","0","0","0","1","0","0","17","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L188669","StoreUpgraderInterruptionTestIT","upgrade.StoreUpgraderInterruptionTestIT","L188587","L103","community\neo4j\src\test\java\upgrade\StoreUpgraderInterruptionTestIT.java","60","1","142","2","0","0","0","0","0","0","0","0","2","1","1","5","18","0","0","10","14","0","0","0","0","0","4","0","0","0","0","0","0","0","60","72","5","0","5","0","4","2","3","0","4","20","2","3","0","71","83","14","0","5","0","5","2","4","0","36","22","4","12","0","0","0","24","3","8","0","0","0","0","0","0","1","0","0","0","1","0","3","16","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","6","2","0","0","0","0","0"
"L188699","StoreUpgraderTest","upgrade.StoreUpgraderTest","L188587","L103","community\neo4j\src\test\java\upgrade\StoreUpgraderTest.java","92","1","413","2","0.192198","2","10","5","0.198758","0.209486","64","53","2","1","1","22","27","0","0","29","46","0","0.092437","22","0","0","13","0.0896057","25","0","0","0","0","0","216","280","6","0","6","0","17","2","12","0","17","96","2","12","0","254","322","9","0","6","0","24","2","19","0","24","100","5","19","0","0","1","93","5","16","0","0","0","0","25","0","2","0","0","0","1","0","7","56","0","0","2","0","0","8","0","0","0","0","0","0","0","0","0","0","0","9","0","1","4","0","0","0"
"L188772","TestMigrateToDenseNodeSupport","upgrade.TestMigrateToDenseNodeSupport","L188587","L103","community\neo4j\src\test\java\upgrade\TestMigrateToDenseNodeSupport.java","56","1","258","2","0","0","0","0","0","0","0","0","1","3","3","18","27","0","0","36","47","0","0.0378788","5","0","0","4","0.0277778","5","0","0","0","0","0","127","151","2","0","2","0","11","0","3","1","11","65","0","3","1","175","203","18","3","18","1","16","15","7","1","23","70","15","12","1","0","0","50","3","12","0","0","0","0","0","0","0","0","0","0","2","0","0","41","0","0","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","7","0","0","2","0","0","0"
"L188875","StoreMigratorFrom19IT","upgrade.StoreMigratorFrom19IT","L188587","L103","enterprise\neo4j-enterprise\src\test\upgrade\StoreMigratorFrom19IT.java","79","1","276","2","0.172303","2","2","2","0.181818","0.194631","36","29","1","3","3","15","38","0","0","52","64","0","0.0952381","16","0","0","6","0.0952381","16","0","0","0","0","0","152","198","8","1","8","1","12","2","5","1","12","70","2","5","1","152","198","8","1","8","1","12","2","5","1","12","70","2","5","1","0","0","55","4","20","0","0","0","0","18","0","0","0","0","0","5","0","9","27","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","5","0","1","1","1","0","0"
"L188935","StoreMigratorFrom20IT","upgrade.StoreMigratorFrom20IT","L188587","L103","enterprise\neo4j-enterprise\src\test\upgrade\StoreMigratorFrom20IT.java","64","1","190","2","0.270202","2","2","2","0.267717","0.284314","34","29","1","1","1","9","29","0","0","42","51","0","0.0545455","6","0","0","6","0.0545455","6","0","0","0","0","0","104","127","8","0","8","0","9","2","5","1","9","44","2","5","1","104","127","8","0","8","0","9","2","5","1","9","44","2","5","1","0","0","47","1","16","0","0","0","0","18","0","0","0","0","0","3","0","7","21","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"L188974","StoreMigratorFrom21IT","upgrade.StoreMigratorFrom21IT","L188587","L103","enterprise\neo4j-enterprise\src\test\upgrade\StoreMigratorFrom21IT.java","58","1","206","2","0.251346","1","2","2","0.147651","0.215686","22","22","1","3","3","8","28","0","0","32","35","0","0.723118","269","0","0","2","0.723118","269","0","0","0","0","0","103","149","1","0","1","0","3","1","1","0","3","43","1","1","0","103","149","1","0","1","0","3","1","1","0","3","43","1","1","0","0","0","23","10","2","0","0","0","0","11","0","0","0","0","0","2","0","1","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","6","3","1","0","0"
"L188989","StoreMigratorTestUtil","upgrade.StoreMigratorTestUtil","L188587","L103","enterprise\neo4j-enterprise\src\test\upgrade\StoreMigratorTestUtil.java","35","1","85","2","0","0","0","0","0","0","0","0","2","0","0","3","6","2","2","9","12","0","0.0322581","1","0","0","3","0.0425532","2","0","0","0","0","0","30","36","0","0","0","0","3","0","2","0","3","10","0","2","0","45","51","0","0","0","0","5","0","4","0","5","13","0","4","0","0","0","18","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L189013","TestDatasourceCommitOrderDataVisibility","visibility.TestDatasourceCommitOrderDataVisibility","L189009","L103","community\neo4j\src\test\java\visibility\TestDatasourceCommitOrderDataVisibility.java","36","1","196","2","0","0","0","0","0","0","0","0","1","1","1","10","7","4","0","9","15","0","0.0117647","1","0","0","3","0.0070922","1","0","0","0","0","0","84","105","6","0","6","0","6","0","2","1","6","39","0","2","1","140","161","6","0","6","0","10","0","6","1","10","52","0","6","1","0","0","37","21","1","0","0","0","0","0","0","0","0","0","0","1","0","4","35","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","8","0","5","4","0","0"
"L189062","TestPropertyReadOnNewEntityBeforeLockRelease","visibility.TestPropertyReadOnNewEntityBeforeLockRelease","L189009","L103","community\neo4j\src\test\java\visibility\TestPropertyReadOnNewEntityBeforeLockRelease.java","40","1","187","2","0","0","0","0","0","0","0","0","6","1","1","6","10","6","2","12","18","0.333333","0.107143","6","3","1","2","0.0441176","6","1","1","0","0","1","50","65","9","1","7","0","6","0","2","0","18","12","0","5","0","130","148","19","1","8","0","14","0","5","0","110","38","2","68","4","0","0","58","6","5","0","0","0","0","0","0","1","0","0","3","0","0","1","46","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","11","0","2","2","1","0","0"
"L189147","HaBeanIT","jmx.HaBeanIT","L189143","L103","enterprise\ha\src\test\java\jmx\HaBeanIT.java","64","1","391","2","0.130971","2","4","4","0.128049","0.14433","42","42","1","4","4","37","20","1","0","46","66","0","0.0267176","7","0","0","15","0.0233333","7","0","0","0","0","0","255","289","4","1","4","1","20","1","14","0","20","126","1","14","0","293","328","12","3","4","1","26","1","19","0","56","134","1","45","0","0","1","144","1","32","0","0","0","0","61","0","0","0","2","0","4","0","8","73","0","0","0","0","0","22","0","0","0","0","0","0","0","0","2","1","0","4","0","0","1","0","0","0"
"L189252","JmxDocTest","jmx.JmxDocTest","L189143","L103","enterprise\ha\src\test\java\jmx\JmxDocTest.java","61","1","454","2","0.0148478","2","4","2","0.0279188","0.0276243","11","10","2","4","4","48","9","0","0","11","23","0","0.00549451","2","0","0","4","0.00534759","2","0","0","0","0","0","362","384","12","4","12","4","12","0","3","0","12","143","0","3","0","372","394","12","4","12","4","12","0","3","0","12","143","0","3","0","0","3","47","9","8","0","1","0","0","8","0","1","0","2","0","0","0","10","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","3","0","1","3","0","0","0"
"L189373","TestInstanceJoin","slavetest.TestInstanceJoin","L189370","L103","enterprise\ha\src\test\java\slavetest\TestInstanceJoin.java","48","1","177","2","0.133803","2","4","2","0.161538","0.19802","21","20","1","3","3","12","19","0","0","23","30","0.5","0.134454","16","4","1","1","0.134454","16","0","0","0","0","0","103","130","1","1","1","1","7","0","1","0","7","45","0","1","0","103","130","1","1","1","1","7","0","1","0","7","45","0","1","0","0","0","34","4","1","0","0","0","0","15","0","0","0","0","0","2","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3","0","0"
"L189404","TxBench","TxBench","L189402","L103","enterprise\server-enterprise\src\test\java\TxBench.java","39","1","146","2","0","0","0","0","0","0","0","0","1","1","1","9","6","1","0","9","15","0","0","0","0","0","4","0","0","0","0","0","0","0","67","84","1","0","1","0","6","0","3","0","6","35","0","3","0","90","108","2","0","2","0","8","0","5","0","8","44","0","5","0","0","1","25","1","13","0","1","0","0","0","0","0","0","0","0","0","0","10","25","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0"
"L187540","AbstractTestBase$RelationshipRepresentation","common.AbstractTestBase$RelationshipRepresentation","L187525","L103","community\graph-algo\src\test\java\common\AbstractTestBase.java","70","5","89","6","0","0","0","0","0","0","0","0","1","0","0","2","3","0","0","3","5","0","0","0","0","0","3","0","0","1","1","0","0","1","18","20","2","0","2","0","2","0","2","0","2","3","0","2","0","18","20","2","0","2","0","2","0","2","0","2","3","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L187607","GraphDescription$RelationshipDescription","common.GraphDescription$RelationshipDescription","L187604","L103","community\graph-algo\src\test\java\common\GraphDescription.java","37","5","83","6","0","0","0","0","0","0","0","0","1","2","2","6","6","1","2","4","7","0","0","0","0","0","3","0","0","0","0","0","0","0","44","47","3","1","3","1","3","0","2","0","3","17","0","2","0","44","47","3","1","3","1","3","0","2","0","3","17","0","2","0","0","0","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
