@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L188002","0","0","0","0","0","0","0","0","3","2","2","26","34","0","0","71","87","0.133333","0.264033","127","10","2","13","0.258687","134","0","0","0","0","0","354","557","2","0","2","0","16","0","14","1","16","240","0","14","1","384","587","3","0","3","0","17","0","15","1","17","240","0","15","1","0","4","49","18","74","0","0","0","0","0","0","1","0","0","1","8","0","30","36","0","0","0","0","0","45","0","0","0","0","0","0","0","0","2","0","0","4","0","14","0","4","0","false"
"L188061","0","0","0","0","0","0","0","0","1","1","1","7","8","0","0","13","19","0","0.12069","7","0","0","7","0.12069","7","0","0","0","0","0","51","68","2","0","2","0","6","0","6","1","6","20","0","6","1","51","68","2","0","2","0","6","0","6","1","6","20","0","6","1","0","0","15","2","10","0","0","0","0","0","0","0","0","0","0","0","0","8","15","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","false"
"L188073","0","0","0","0","0","0","0","0","1","1","1","1","11","0","0","13","14","0.5","0.25","7","5","1","1","0.25","7","0","0","0","0","0","21","23","0","0","0","0","1","0","1","0","1","12","0","1","0","21","23","0","0","0","0","1","0","1","0","1","12","0","1","0","0","0","5","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","false"
"L188081","0.0286086","1","1","1","0.0413223","0.0416667","10","9","3","3","3","27","14","2","1","18","33","0","0","0","0","0","11","0","0","0","0","0","0","0","176","195","6","0","6","0","15","0","10","1","15","80","0","10","1","220","242","14","0","9","0","20","0","14","1","24","93","4","18","1","0","0","71","6","43","0","0","2","0","7","0","1","0","0","4","1","0","34","55","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","7","0","3","0","0","0","false"
"L188163","0.340707","11","38","25","0.287179","0.285928","224","191","2","4","3","79","22","0","0","34","56","0","0.0279001","19","0","0","18","0.0275362","19","1","1","0","0","1","662","771","3","0","3","0","22","1","17","2","22","471","1","17","2","671","780","9","0","9","0","22","7","17","2","23","471","7","18","2","0","0","124","7","91","0","0","0","0","62","0","1","0","2","0","2","0","5","47","0","0","0","0","0","85","0","0","0","0","0","0","0","0","1","0","0","10","0","4","1","2","0","false"
"L188241","0","0","0","0","0","0","0","0","1","3","3","19","28","0","0","33","48","0.2","0.0580645","9","1","1","4","0.0580645","9","0","0","0","0","0","146","181","9","0","9","0","15","1","4","0","15","58","1","4","0","146","181","9","0","9","0","15","1","4","0","15","58","1","4","0","0","0","40","1","19","0","0","0","0","0","0","0","0","0","0","3","0","9","31","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0","false"
"L188294","0","0","0","0","0","0","0","0","2","2","2","7","6","0","0","7","13","0","0.0512821","4","0","0","4","0.0512821","4","0","0","0","0","0","74","88","5","1","5","1","6","1","3","1","6","27","1","3","1","74","88","5","1","5","1","6","1","3","1","6","27","1","3","1","0","0","20","3","5","0","0","0","0","0","0","1","0","0","0","0","0","4","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0","1","2","0","0","false"
"L188323","0","0","0","0","0","0","0","0","1","1","1","9","17","0","0","20","29","0","0.0434783","3","0","0","4","0.0361446","3","0","0","0","0","0","66","81","3","0","3","0","9","1","3","0","9","21","1","3","0","80","95","3","0","3","0","10","1","4","0","15","25","1","9","0","0","0","31","2","7","0","0","0","0","0","0","0","0","0","0","1","0","3","26","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","0","0","2","0","0","false"
"L188355","0","0","0","0","0","0","0","0","1","1","1","2","15","0","0","21","23","0.333333","0.26087","12","9","1","2","0.26087","12","0","0","0","0","0","34","52","1","0","1","0","2","0","2","0","2","17","0","2","0","34","52","1","0","1","0","2","0","2","0","2","17","0","2","0","0","0","5","2","5","0","0","0","0","0","0","0","0","0","0","2","0","1","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","false"
"L188365","0","0","0","0","0","0","0","0","2","2","2","23","25","0","0","39","58","0.111111","0.0840708","19","3","1","8","0.0766129","19","0","0","0","0","0","207","252","5","0","5","0","19","1","8","1","19","95","1","8","1","229","275","8","0","8","0","22","3","8","1","22","97","3","8","1","0","0","66","7","11","0","0","0","0","0","0","1","0","0","0","4","0","5","53","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","8","0","3","4","0","0","false"
"L188459","0","0","0","0","0","0","0","0","2","0","0","4","8","5","2","10","14","0","0.0512821","2","0","0","2","0.0261438","4","1","1","0","0","1","37","47","8","1","6","0","4","0","1","0","16","12","0","4","0","149","166","20","1","9","0","14","0","6","1","89","49","2","54","4","0","0","58","5","7","0","0","0","0","0","0","1","0","0","2","0","0","1","48","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","2","0","9","1","0","1","2","0","false"
"L188548","0","0","0","0","0","0","0","0","1","1","1","4","12","2","0","10","14","0","0.128571","9","0","0","5","0.0882353","9","0","0","0","0","0","61","82","10","0","10","0","4","1","4","1","4","24","1","4","1","93","115","10","0","10","0","7","1","7","1","7","33","1","7","1","0","0","29","5","1","0","0","0","0","0","0","1","0","0","0","1","0","3","21","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","0","false"
"L188604","0","0","0","0","0","0","0","0","1","3","3","15","15","2","6","25","34","0","0.00775194","1","0","0","10","0.00775194","1","0","0","0","0","0","128","138","4","0","4","0","9","0","9","0","9","67","0","9","0","128","138","4","0","4","0","9","0","9","0","9","67","0","9","0","0","0","22","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","21","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L188630","0","0","0","0","0","0","0","0","1","1","1","2","10","0","0","7","8","0","0.125","4","0","0","2","0.125","4","0","0","0","0","0","28","35","2","0","2","0","1","1","1","0","1","11","1","1","0","28","35","2","0","2","0","1","1","1","0","1","11","1","1","0","0","0","9","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","1","0","1","0","0","false"
"L188636","0","0","0","0","0","0","0","0","3","0","0","6","1","2","2","0","6","0","0","0","0","0","7","0","0","1","1","0","0","1","33","39","3","0","3","0","6","0","6","0","6","6","0","6","0","33","39","3","0","3","0","6","0","6","0","6","6","0","6","0","0","0","16","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","false"
"L188651","0","0","0","0","0","0","0","0","2","1","1","9","18","0","0","13","20","0","0.127907","11","0","0","7","0.127907","11","0","0","0","0","0","75","95","3","0","3","0","7","0","6","0","7","23","0","6","0","75","95","3","0","3","0","7","0","6","0","7","23","0","6","0","0","1","19","2","2","0","0","0","0","0","0","1","0","0","0","1","0","0","17","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","false"
"L188669","0","0","0","0","0","0","0","0","2","1","1","5","18","0","0","10","14","0","0","0","0","0","4","0","0","0","0","0","0","0","60","72","5","0","5","0","4","2","3","0","4","20","2","3","0","71","83","14","0","5","0","5","2","4","0","36","22","4","12","0","0","0","24","3","8","0","0","0","0","0","0","1","0","0","0","1","0","3","16","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","6","2","0","0","0","0","false"
"L188699","0.192198","2","10","5","0.198758","0.209486","64","53","2","1","1","22","27","0","0","29","46","0","0.092437","22","0","0","13","0.0896057","25","0","0","0","0","0","216","280","6","0","6","0","17","2","12","0","17","96","2","12","0","254","322","9","0","6","0","24","2","19","0","24","100","5","19","0","0","1","93","5","16","0","0","0","0","25","0","2","0","0","0","1","0","7","56","0","0","2","0","0","8","0","0","0","0","0","0","0","0","0","0","0","9","0","1","4","0","0","false"
"L188772","0","0","0","0","0","0","0","0","1","3","3","18","27","0","0","36","47","0","0.0378788","5","0","0","4","0.0277778","5","0","0","0","0","0","127","151","2","0","2","0","11","0","3","1","11","65","0","3","1","175","203","18","3","18","1","16","15","7","1","23","70","15","12","1","0","0","50","3","12","0","0","0","0","0","0","0","0","0","0","2","0","0","41","0","0","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","7","0","0","2","0","0","false"
"L188875","0.172303","2","2","2","0.181818","0.194631","36","29","1","3","3","15","38","0","0","52","64","0","0.0952381","16","0","0","6","0.0952381","16","0","0","0","0","0","152","198","8","1","8","1","12","2","5","1","12","70","2","5","1","152","198","8","1","8","1","12","2","5","1","12","70","2","5","1","0","0","55","4","20","0","0","0","0","18","0","0","0","0","0","5","0","9","27","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","5","0","1","1","1","0","false"
"L188935","0.270202","2","2","2","0.267717","0.284314","34","29","1","1","1","9","29","0","0","42","51","0","0.0545455","6","0","0","6","0.0545455","6","0","0","0","0","0","104","127","8","0","8","0","9","2","5","1","9","44","2","5","1","104","127","8","0","8","0","9","2","5","1","9","44","2","5","1","0","0","47","1","16","0","0","0","0","18","0","0","0","0","0","3","0","7","21","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","false"
"L188974","0.251346","1","2","2","0.147651","0.215686","22","22","1","3","3","8","28","0","0","32","35","0","0.723118","269","0","0","2","0.723118","269","0","0","0","0","0","103","149","1","0","1","0","3","1","1","0","3","43","1","1","0","103","149","1","0","1","0","3","1","1","0","3","43","1","1","0","0","0","23","10","2","0","0","0","0","11","0","0","0","0","0","2","0","1","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","6","3","1","0","false"
"L188989","0","0","0","0","0","0","0","0","2","0","0","3","6","2","2","9","12","0","0.0322581","1","0","0","3","0.0425532","2","0","0","0","0","0","30","36","0","0","0","0","3","0","2","0","3","10","0","2","0","45","51","0","0","0","0","5","0","4","0","5","13","0","4","0","0","0","18","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L189013","0","0","0","0","0","0","0","0","1","1","1","10","7","4","0","9","15","0","0.0117647","1","0","0","3","0.0070922","1","0","0","0","0","0","84","105","6","0","6","0","6","0","2","1","6","39","0","2","1","140","161","6","0","6","0","10","0","6","1","10","52","0","6","1","0","0","37","21","1","0","0","0","0","0","0","0","0","0","0","1","0","4","35","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","8","0","5","4","0","false"
"L189062","0","0","0","0","0","0","0","0","6","1","1","6","10","6","2","12","18","0.333333","0.107143","6","3","1","2","0.0441176","6","1","1","0","0","1","50","65","9","1","7","0","6","0","2","0","18","12","0","5","0","130","148","19","1","8","0","14","0","5","0","110","38","2","68","4","0","0","58","6","5","0","0","0","0","0","0","1","0","0","3","0","0","1","46","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","11","0","2","2","1","0","false"
"L189147","0.130971","2","4","4","0.128049","0.14433","42","42","1","4","4","37","20","1","0","46","66","0","0.0267176","7","0","0","15","0.0233333","7","0","0","0","0","0","255","289","4","1","4","1","20","1","14","0","20","126","1","14","0","293","328","12","3","4","1","26","1","19","0","56","134","1","45","0","0","1","144","1","32","0","0","0","0","61","0","0","0","2","0","4","0","8","73","0","0","0","0","0","22","0","0","0","0","0","0","0","0","2","1","0","4","0","0","1","0","0","false"
"L189252","0.0148478","2","4","2","0.0279188","0.0276243","11","10","2","4","4","48","9","0","0","11","23","0","0.00549451","2","0","0","4","0.00534759","2","0","0","0","0","0","362","384","12","4","12","4","12","0","3","0","12","143","0","3","0","372","394","12","4","12","4","12","0","3","0","12","143","0","3","0","0","3","47","9","8","0","1","0","0","8","0","1","0","2","0","0","0","10","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","3","0","1","3","0","0","false"
"L189373","0.133803","2","4","2","0.161538","0.19802","21","20","1","3","3","12","19","0","0","23","30","0.5","0.134454","16","4","1","1","0.134454","16","0","0","0","0","0","103","130","1","1","1","1","7","0","1","0","7","45","0","1","0","103","130","1","1","1","1","7","0","1","0","7","45","0","1","0","0","0","34","4","1","0","0","0","0","15","0","0","0","0","0","2","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3","0","false"
"L189404","0","0","0","0","0","0","0","0","1","1","1","9","6","1","0","9","15","0","0","0","0","0","4","0","0","0","0","0","0","0","67","84","1","0","1","0","6","0","3","0","6","35","0","3","0","90","108","2","0","2","0","8","0","5","0","8","44","0","5","0","0","1","25","1","13","0","1","0","0","0","0","0","0","0","0","0","0","10","25","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","false"
